                Time     Luminosity_Ratio     Variable_Star_DN      Variable_Sky_DN   Comparison_Star_DN    Comparison_Sky_DN 
            0.000780             2.959328         10188.085574          1902.157659          4226.264229          1426.328318 
            0.000790             1.930327         10595.202490           923.123875          5010.589923             0.000000 
            0.000800             2.235210         10408.368175          1096.163823          4166.142766             0.000000 
            0.000810             2.553617         10767.509995          1355.632191          4826.136052          1140.430921 
            0.000820             2.665863          9728.293710           248.481704          4208.136235           652.134770 
            0.000830             2.042201         10700.308237          1369.548631          5058.320872           489.349040 
            0.000840             2.261027         10943.662832           620.685446          5622.791223          1057.176428 
            0.000850             2.210432         10812.250130          1232.520524          4333.872494             0.000000 
            0.000860             1.806195          9429.944761          1484.603412          4398.937956             0.000000 
            0.000870             2.238843          9488.479263          1062.532426          4478.591266           715.063936 
            0.000880             2.298404         10853.450117           989.715262          4642.597736           351.039155 
            0.000890             1.484542          9666.646321          1070.101016          5790.704062             0.000000 
            0.000900             1.969216         10632.129887          1780.632954          5725.150304          1230.216376 
            0.000910             2.638171          9172.795801           550.370800          4064.088870           795.754875 
            0.000920             2.105638          9146.549883          1363.811151          5181.554613          1485.412152 
            0.000930             1.712329         10807.489242          1625.598926          5362.224189             0.000000 
            0.000940             1.768191         10701.162755          1225.012970          5359.233375             0.000000 
            0.000950             2.558250         10181.310465          1736.869411          4541.032136          1240.165410 
            0.000960             1.766547         10234.473708           696.432386          5816.339610           417.081210 
            0.000970             1.910212          9301.278726           886.745811          5522.873623          1117.847224 
            0.000980             1.525371          9780.846583          1574.022645          5469.893490            89.678640 
            0.000990             1.719305          9906.582842          1631.153294          5319.376202           506.134220 
            0.001000             2.623836         10680.776391          1484.298227          4494.827113           989.852596 
            0.001010             2.024308         10554.551836          1821.771905          5805.475021          1491.515854 
            0.001020             1.731228          9542.191839             1.892148          5971.922971           461.210974 
            0.001030             2.083588          9456.373791            97.903378          5242.408521           750.892666 
            0.001040             1.832796          9951.445051          1516.708884          5286.233100           684.118168 
            0.001050             1.609324          9063.478500           129.215369          5551.561022             0.000000 
            0.001060             2.244970          9933.744316           850.856044          5275.978881          1230.094302 
            0.001070             1.647952         10403.057955          1607.409894          5337.321085             0.000000 
            0.001080             1.582514          9164.799951          1626.209296          5130.588702           366.908780 
            0.001090             1.870816          9164.250618          1988.525040          4661.091952           825.479904 
            0.001100             2.177742          9931.241798          1381.145665          5039.155248          1113.025300 
            0.001110             1.536268          9533.951842           985.198523          5564.622944             0.000000 
            0.001120             1.848175          9841.639454          1438.215278          4589.068270            42.191839 
            0.001130             1.836022          9782.799768          1809.015168          4342.967009             0.000000 
            0.001140             2.150874         10287.697989          1520.920438          4914.395581           838.480789 
            0.001150             1.917613          9601.153600          1162.327952          5568.590350          1167.897580 
            0.001160             2.387307         10654.957732          1121.066927          4594.073305           600.497452 
            0.001170             1.228476          9185.003204          1980.834376          5864.314707             0.000000 
            0.001180             1.967986         10283.669546          1616.199225          5300.820948           896.588031 
            0.001190             1.727934         10071.749016           925.382244          5427.045503           133.808405 
            0.001200             1.739516         10180.028687          1136.265145          5199.011200             0.000000 
            0.001210             1.984628          9726.401563           624.530778          5301.004059           714.819788 
            0.001220             3.671377         10476.912748           181.157872          4093.569750          1289.239174 
            0.001230             2.092754          9877.407147           666.402173          4401.379437             0.000000 
            0.001240             2.208854          9644.672994          1988.036744          4328.257088           861.919004 
            0.001250             2.678846         10602.587970          1341.166417          4287.484359           830.240791 
            0.001260             1.878849          9452.528459          1647.938475          5434.064760          1280.144658 
            0.001270             2.002510         10164.952544           132.938627          5686.635945           676.915799 
            0.001280             1.927416          9678.975799          1973.693045          4527.542955           529.816584 
